기초시군구(관할관청),업체명,연락처,폐기물구분,폐기물명,연간배출량(톤)
강원특별자치도 강릉시,(주)기성환경,033-655-6969,사업장배출시설계폐기물,그 밖의 폐목재류,250.83
강원특별자치도 강릉시,(주)기성환경,033-655-6969,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),219.17
강원특별자치도 강릉시,(주)에코비트워터(강릉하수처리장),033-650-5200,사업장배출시설계폐기물,그 밖의 공정오니(무기성),0
강원특별자치도 강릉시,(주)에코비트워터(강릉하수처리장),033-650-5200,사업장배출시설계폐기물,그 밖의 유기성오니,0
강원특별자치도 강릉시,(주)에코비트워터(강릉하수처리장),033-650-5200,사업장배출시설계폐기물,그 밖의 폐기물,0
강원특별자치도 강릉시,(주)에코비트워터(강릉하수처리장),033-650-5200,사업장배출시설계폐기물,하수처리오니,0
강원특별자치도 강릉시,(주)에코비트워터(강릉하수처리장),033-650-5200,,그 밖의 폐산,1.5
강원특별자치도 강릉시,(주)에코비트워터(강릉하수처리장),033-650-5200,,연구ㆍ검사용 폐시약,0.17
강원특별자치도 강릉시,(주)이마트강릉점,033-649-1052,사업장생활계폐기물,동물성유지류,3.294
강원특별자치도 강릉시,(주)이마트강릉점,033-649-1052,사업장생활계폐기물,음식물류폐기물,53.8815
강원특별자치도 강릉시,(주)이마트강릉점,033-649-1052,사업장생활계폐기물,폐발포합성수지,2.45
강원특별자치도 강릉시,(주)이마트강릉점,033-649-1052,사업장생활계폐기물,폐식용유(식용을 목적으로 식품 재료와 원료를 제조ㆍ조리ㆍ가공하거나 식용유를 유통ㆍ사용 또는 음식물류 폐기물을 처리하는 과정에서 발생하는 기름을 말한다),1.2755
강원특별자치도 강릉시,(주)이마트강릉점,033-649-1052,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),101.04
강원특별자치도 강릉시,(주)정필 강릉지점,033-661-3762,사업장배출시설계폐기물,수산물가공잔재물,13.7
강원특별자치도 강릉시,(주)한진종합관리,033-655-8116,사업장배출시설계폐기물,그 밖의 폐기물,1.23
강원특별자치도 강릉시,(주)한진종합관리,033-655-8116,사업장배출시설계폐기물,음식물류폐기물,2.23
강원특별자치도 강릉시,(주)한진종합관리,033-655-8116,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),4
강원특별자치도 강릉시,강릉영동대학교행복기숙사유한회사,033-610-0408,사업장생활계폐기물,그 밖의 폐기물,12.8
강원특별자치도 강릉시,영동 수질정화시설,033-550-9132,사업장배출시설계폐기물,폐수처리오니,1012.83
강원특별자치도 강릉시,우리이엔티(주),033-644-8689,사업장배출시설계폐기물,그 밖의 폐목재류,2412.13
강원특별자치도 강릉시,우리이엔티(주),033-644-8689,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),2713
강원특별자치도 강릉시,유한회사 강릉자동차 폐차장,033-653-4311,사업장배출시설계폐기물,자동차 폐타이어,50.68
강원특별자치도 강릉시,유한회사 강릉자동차 폐차장,033-653-4311,사업장배출시설계폐기물,자동차회수폐냉매물질,4
강원특별자치도 강릉시,유한회사 강릉자동차 폐차장,033-653-4311,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),13.86
강원특별자치도 강릉시,유한회사 강릉자동차 폐차장,033-653-4311,,폐황산이 포함된 2차폐축전지,7.04
강원특별자치도 강릉시,주문진농공단지협의회,033-921-3730,사업장배출시설계폐기물,그 밖의 폐수처리오니,6378.81
강원특별자치도 강릉시,주식회사 미코세라믹스,033-820-3235,,"그 밖의 폐광물유[아스팔트유ㆍ그리스(grease)ㆍ방청유 및 수용성절삭유, 20퍼센트 이상의 이물질이 함유된 폐유, 고체상태의 폐유 등을 말한다]",49.17
강원특별자치도 강릉시,주식회사 미코세라믹스,033-820-3235,,그 밖의 폐유독물질,5.55
강원특별자치도 강릉시,주식회사 미코세라믹스,033-820-3235,,폐연마유ㆍ비수용성폐절삭유ㆍ폐열처리유(금속가공과정에서 발생된 것을 말한다),46.14
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,사업장배출시설계폐기물,그 밖의 동ㆍ식물성잔재물,18.2
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,사업장배출시설계폐기물,그 밖의 연소잔재물,19676.32
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,사업장배출시설계폐기물,그 밖의 폐기물,22.41
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,사업장배출시설계폐기물,그 밖의 폐목재류,61.94
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,사업장배출시설계폐기물,금속성폐촉매,343.93
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,사업장배출시설계폐기물,석탄재,80762.33
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,사업장배출시설계폐기물,폐수처리오니,202.08
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),69.97
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),98.03
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,,"그 밖의 폐광물유[아스팔트유ㆍ그리스(grease)ㆍ방청유 및 수용성절삭유, 20퍼센트 이상의 이물질이 함유된 폐유, 고체상태의 폐유 등을 말한다]",6.66
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,,석면의 제거작업에 사용된 모든 비닐시트ㆍ방진마스크ㆍ작업복ㆍ집진필터 등,0.02
